home|items|1|content;See for which purposes your data is processed.
home|items|2|title;TRAPEZE
home|items|2|filename;/img/favicon.png
home|items|2|link;http://trapeze-project.eu
home|items|2|content;Learn more about the TRAPEZE project of the European Union.
home|consent|consent-menu;Consent Menu
home|consent|title;Consent
home|consent|location;Your location data
home|consent|purpose;Purposes
home|consent|text;Location data is data that tells us where you have been at what time. We collect location data via GPS if you give permission in our ${we} mobile application. We use your location data to customize our advertising, to plan our marketing geographically, and to prevent fraud via geographic identity verification.
home|consent|text_ad;Advertising is an integral part of our business model, which guarantees that we can continue to provide you with our restaurant recommendations. We use the below data categories to customize advertising. Tell us below which data categories we may use to customize our advertising.
home|consent|ad;Advertisement
home|consent|marketing;Marketing
home|consent|id;Identity Verification
home|consent|name;Name
home|consent|fingerprint;Fingerprint
home|consent|bank;Bank Account
home|consent|credit;Credit Card Number
home|consent|sensitivity;Sensitivity:
home|consent|sensitivityText;You can configure how sensitive this data is to you. We treat very sensitive data differently and with extensive care
home|consent|sensitivityHeader;How sensitive is this data to you?
PAlertLeaveDialog|dialog-title;Are you sure you want to leave this page?
PAlertLeaveDialog|lose-changes-warning;You need to submit your choices.
PAlertLeaveDialog|lose-consent-helper-choices;You haven't addressed all warnings yet.
consent|purposeDescription;123
consent|dataDescription;1233626551
consent|desc;Move the sliders to the left to withdraw consent and stop the processing of your data. Click on the "Withdraw all consent"-button to stop all processing.
consent|consent-menu;Consent Menu
consent|title;Consent Assistant
consent|location;Your location data
consent|purposes;Purposes
consent|text;Location data is data that tells us where you have been at what time. We collect location data via GPS if you give permission in our ${we} mobile application. We use your location data to customize our advertising, to plan our marketing geographically, and to prevent fraud via geographic identity verification.
consent|text_ad;Advertising is an integral part of our business model, which guarantees that we can continue to provide you with our restaurant recommendations free of charge. We use the below data categories to customize advertising. Tell us below which data categories we may use to customize our advertising.
consent|ad;Advertisement
consent|marketing;Marketing
consent|id;Identity Verification
consent|name;Name
consent|fingerprint;Fingerprint
consent|bank;Bank Account
consent|credit;Credit Card Number
consent|sensitivity;Sensitivity
consent|sensitivityText;You can configure how sensitive this data is to you. We treat very sensitive data differently and with extensive care
consent|sensitivityHeader;How sensitive is this data to you?
consent|warnings;Warnings
consent|warning-msg-not-comfortable;In the Consent Assistant, you have indicated that you are uncomfortable that we (${we}) use your ${dataCategory} data for ${purpose} purposes. However, the consent you gave us indicates that you are comfortable. Please review your consent.
consent|warning-msg-no-opinion;In the Consent Assistant, you have indicated that you do not have an opinion on our (${we}) processing of your ${dataCategory} data for ${purpose} purposes. However, the consent you gave us indicates that you are comfortable. Please review your consent.
consent|issues;issues
consent|issue;issue
consent|tab|labels|consent;Privacy Policy
consent|tab|labels|data-category;Data Category
consent|tab|labels|purpose;Purpose
consent|consent|ptable|header|values|date;Date
consent|consent|ptable|header|values|event;Subject
consent|consent|ptable|header|values|policy;Policy
consent|consent|ptable|events|values|consent-request-policy-update;Consent Request - Policy Update
consent|consent|ptable|events|values|consent-revocation;Consent Revocation
consent|consent|ptable|events|values|consent-giving;Consent Giving
consent|consent|ptable|events|values|consent-request-account-creation;Consent Request - Account Creation
consent|consent|ptable|policy|active;active
consent|consent|ptable|policy|inactive;inactive
consent|consent|ptable|footer|rows-per-page;Rows per page
consent|data|ptable|header|values|data;Data Category
consent|data|ptable|header|values|purposes;Purposes
consent|data|ptable|header|values|issue;Issue
consent|data|ptable|footer|rows-per-page;Rows per page
consent|purpose|ptable|header|values|purpose;Purpose
consent|purpose|ptable|header|values|data;Data Categories
consent|purpose|ptable|header|values|issue;Issue
consent|purpose|ptable|footer|rows-per-page;Rows per page
consent-helper|purpose;Purpose
consent-helper|comfortable;Comfortable
consent-helper|no-opinion;No opinion
consent-helper|not-comfortable;Not comfortable
contact|new-message-to;New Message to
contact|recipient;Recipient
contact|message;Message
help|desc;By offering this short survey, we want to ensure that we only collect and use your data in a way you are comfortable with. By completing this questionnaire, you can tell us how you like us to treat your data. Your answers are matched against your current consent decision. Afterward, you're provided with guidance on how to adjust your consent so that it fits with your preferences.
help|comfort;How comfortable are you that we use this type of data for the following purposes?
