btn|labels|consent-guide;Einwilligungsassistent
btn|labels|i-can-not-find-an-answer;Ich finde keine Antwort auf meine Frage
btn|labels|undo-last-change;letzte Änderungen rückgängig machen
btn|labels|submit-changes;Änderungen speichern
btn|labels|see-changes;Änderungen anzeigen
btn|labels|view-changes;Änderungen anzeigen
btn|labels|send-message;Nachricht senden
btn|labels|cancel;Abbrechen
btn|labels|back;Zurück
btn|labels|next;Weiter
btn|labels|view-issues;Fragebogen Abschließen
btn|labels|fix;Beheben
btn|labels|fix-all;Alle beheben
btn|labels|ignore;Ignorieren
btn|labels|ignore-all;Alle ignorieren
btn|labels|view;Ansehen
btn|labels|visit-website;Webseite besuchen
btn|labels|leave-anyway;Trotzdem verlassen
btn|labels|contact;Kontakt
snackbar|msg|please-complete-the-consent-guide;Sie haben noch nicht alle Fragen beantwortet. Sie können den Fragebogen erst abschließen, wenn Sie alle Fragen beantwortet haben.
snackbar|msg|submission-successful;Speichern erfolgreich
snackbar|msg|message-sent;Nachricht gesendet
placeholder|search-for-a-question-or-an-answer;Suche nach einer Frage oder einer Antwort
updates|1;Aktualisierung der Richtlinie
updates|2;Widerruf der Einwilligung
updates|3;Einwilligungsanfrage
sidebar-title|navigation;Menü
sidebar-title|update;Aktualisierungen
qna|links-and-sources;Links und Quellen
qna|header;Häufig gestellte Fragen (FAQ)
qna|introduction;Erfahren Sie mehr über das TRAPEZE-Datenschutz-Dashboard und dessen zugrunde liegenden Konzepte. Geben Sie uns (${we}) gerne Bescheid, falls Sie Ihre gewünschten Informationen nicht finden können.
home|title;Willkommen auf dem Datenschutz-Dashboard von TRAPEZE!
home|explore-btn;Ansehen
home|welcome-msg1;Verwalten Sie Ihre Einwilligungen und kontrollieren Sie die Verarbeitung Ihrer Daten.\n Klicken Sie unten auf eine Karte, um loszulegen.
home|welcome-msg2;Sie können Ihre Einwilligung auf der Grundlage der folgenden Punkte erteilen oder widerrufen:
home|welcome-msg3;Wir empfehlen die Verwendung des 'Einwilligungsassistenten', um Ihre Präferenzen auszudrücken und sie mit Ihren Zustimmungsentscheidungen abzugleichen.
home|purpose|0|name;Klicken Sie auf die 'Daten'-Karte, um zu sehen, welche Ihrer Daten verarbeitet werden.\n Ziehen Sie Ihre Einwilligung zurück, um die Verarbeitung Ihrer Daten zu stoppen.
home|purpose|1|name;Klicken Sie auf die 'Zweck'-Karte, um zu sehen, für welche Zwecke Ihre Daten verarbeitet werden. \n Ziehen Sie Ihre Einwilligung zurück, um die Verarbeitung für einen bestimmten Zweck zu stoppen.
home|help;Einwilligungsassistent
home|items|0|title;Datenkategorien
home|items|0|filename;/img/data.png
home|items|0|link;/consent?tab=data
home|items|0|content;Sagen Sie uns (${we}), welche Ihrer Daten wir verwenden dürfen.
home|items|1|title;Zwecke
home|items|1|filename;/img/purpose.png
home|items|1|link;/consent?tab=purpose
home|items|1|content;Sagen Sie uns (${we}), wofür wir Ihre Daten verwenden dürfen. 
home|items|2|title;TRAPEZE
home|items|2|filename;/img/favicon.png
home|items|2|link;http://trapeze-project.eu
home|items|2|content;Erfahren Sie mehr über das TRAPEZE-Projekt der Europäischen Union.
home|consent|consent-menu;Einwilligungsmenü
home|consent|title;Einwilligungen
home|consent|location;Ihre Standortdaten
home|consent|purpose;Zwecke
home|consent|text;Standortdaten sind Daten, die uns sagen, wo Sie zu welcher Zeit waren. Wir erfassen Standortdaten über GPS, wenn Sie uns in unserer mobilen ${we} App die Erlaubnis dazu erteilen. Wir verwenden Ihre Standortdaten, um unsere Werbung anzupassen, unser Marketing geografisch zu planen und Betrug durch geografische Identitätsprüfung zu vermeiden.
home|consent|text_ad;Werbung ist ein integraler Bestandteil unseres Geschäftsmodells, der garantiert, dass wir Ihnen weiterhin lokale Restaurants empfehlen können. Wir verwenden die folgenden Datenkategorien, um Werbung anzupassen. Teilen Sie uns unten mit, welche Datenkategorien wir verwenden dürfen, um unsere Werbung anzupassen.
home|consent|ad;Werbung
home|consent|marketing;Marketing
home|consent|id;Identitätsprüfung
home|consent|name;Name
home|consent|fingerprint;Fingerabdrücke
home|consent|bank;Kontodaten
home|consent|credit;Kreditkartennummer
home|consent|sensitivity;Sensibilitat:
home|consent|sensitivityText;Sie können konfigurieren, wie sensibel diese Daten für Sie sind. Wir behandeln sehr sensible Daten gesondert und mit großer Sorgfalt
home|consent|sensitivityHeader;Wie sensibel sind diese Daten für Sie?
PAlertLeaveDialog|dialog-title;Möchten Sie diese Seite wirklich verlassen?
PAlertLeaveDialog|lose-changes-warning;Sie müssen Ihre Auswahl einreichen.
PAlertLeaveDialog|lose-consent-helper-choices;Sie haben noch nicht auf alle Warnungen reagiert.
consent|purposeDescription;123
consent|dataDescription;1233626551
consent|desc;Konfigurieren Sie, welche Datenkategorien wir für welche Zwecke verwenden dürfen. Oder für welche Zwecke wir welche Daten verwenden dürfen.
consent|consent-menu;Einwilligungsmenü
consent|title;Einwilligungsassistent
consent|location;Ihre Standortdaten
consent|purposes;Zwecke
consent|text;Standortdaten sind Daten, die uns sagen, wo Sie sich zu welcher Zeit aufgehalten haben. Wir erfassen Standortdaten über GPS, wenn Sie uns dazu in unserer mobilen ${we} App die Erlaubnis erteilen. Wir verwenden Ihre Standortdaten, um unsere Werbung anzupassen, unser Marketing geografisch zu planen und um Betrug durch geografische Identitätsprüfung zu verhindern.
consent|text_ad;Werbung ist ein integraler Bestandteil unseres Geschäftsmodells, der sicherstellt, dass wir Ihnen weiterhin unsere Restaurantempfehlungen zur Verfügung stellen können. Wir verwenden die unten aufgeführten Datenkategorien, um die Werbung zu personalisieren. Teilen Sie uns im Folgenden mit, welche Datenkategorien wir verwenden dürfen, um unsere Werbung zu individualisieren.
consent|ad;Werbung
consent|marketing;Marketing
consent|id;Identitätsprüfung
consent|name;Name
consent|fingerprint;Fingerabdrücke
consent|bank;Kontodaten
consent|credit;Kreditkartennummer
consent|sensitivity;Sensibilität
consent|sensitivityText;Sie können einstellen, wie sensibel diese Daten für Sie sind. Wir behandeln sehr sensible Daten anders und mit großer Sorgfalt
consent|sensitivityHeader;Wie sensibel sind diese Daten für Sie?
consent|warnings;Konflikte
consent|warning-msg-not-comfortable;Im Einwilligungsassistenten haben Sie angegeben, dass Sie nicht damit einverstanden sind, dass wir (${we}) Ihre ${dataCategory}-Daten für ${purpose}-Zwecke verwenden. Aus der Einwilligung, die Sie uns gegeben haben, schließen wir jedoch, dass Sie damit doch einverstanden sind. Bitte überprüfen Sie Ihre Einwilligung.
